Date,Close,High,Low,Open,Volume
,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE
2025-11-11,9899.599609375,9912.900390625,9787.2001953125,9787.2001953125,924385900
2025-11-12,9911.400390625,9930.099609375,9878.2998046875,9899.599609375,814638100
2025-11-13,9807.7001953125,9913.2001953125,9804.7998046875,9911.400390625,626791500
2025-11-14,9698.400390625,9807.7001953125,9610.5,9807.7001953125,715744700
2025-11-17,9675.400390625,9707.7001953125,9667.900390625,9698.400390625,812453900
2025-11-18,9552.2998046875,9675.599609375,9511.7001953125,9675.400390625,804147700
2025-11-19,9507.400390625,9568.5,9507.400390625,9552.2998046875,866995100
2025-11-20,9527.7001953125,9593.7998046875,9507.400390625,9507.400390625,808216600
2025-11-21,9539.7001953125,9541.2001953125,9423.900390625,9527.7001953125,805279800
2025-11-24,9534.900390625,9592.599609375,9524.7001953125,9539.7001953125,1668886000
2025-11-25,9609.5,9615.599609375,9521.5,9534.900390625,785920000
2025-11-26,9691.599609375,9704.2998046875,9593.2998046875,9609.599609375,1115421300
2025-11-27,9693.900390625,9699.7998046875,9658.900390625,9691.599609375,768475200
2025-11-28,9720.5,9740.2001953125,9694.0,9694.0,537586900
2025-12-01,9702.5,9735.400390625,9686.900390625,9720.599609375,823282000
2025-12-02,9701.7998046875,9744.7998046875,9682.2998046875,9702.5,654140300
2025-12-03,9692.099609375,9711.2998046875,9677.7001953125,9701.7998046875,750194100
2025-12-04,9710.900390625,9727.599609375,9674.7998046875,9692.099609375,899242300
2025-12-05,9667.0,9738.2998046875,9667.0,9710.900390625,592674800
2025-12-08,9645.099609375,9692.400390625,9629.2001953125,9667.099609375,777520000
2025-12-09,9642.0,9673.2001953125,9630.900390625,9645.099609375,787104800
2025-12-10,9655.5,9689.5,9622.7001953125,9642.0,932473800
2025-12-11,9703.2001953125,9715.2998046875,9635.2998046875,9655.599609375,637684000
2025-12-12,9649.0,9761.5,9639.2998046875,9703.2001953125,601108600
2025-12-15,9751.2998046875,9769.0,9649.0,9649.0,656861100
2025-12-16,9684.7998046875,9764.7998046875,9655.7001953125,9751.2998046875,760319300
2025-12-17,9774.2998046875,9853.099609375,9684.7998046875,9684.7998046875,842799500
2025-12-18,9837.7998046875,9845.099609375,9748.2998046875,9774.2998046875,702927400
2025-12-19,9897.400390625,9903.099609375,9819.400390625,9837.7998046875,1611302500
2025-12-22,9866.0,9898.0,9829.400390625,9897.400390625,466411600
2025-12-23,9889.2001953125,9901.5,9846.2998046875,9865.900390625,534194000
2025-12-24,9870.7001953125,9893.2001953125,9862.0,9889.2001953125,163408500
2025-12-29,9866.5,9892.7998046875,9858.5,9870.7001953125,347896700
2025-12-30,9940.7001953125,9954.2998046875,9859.7998046875,9866.5,364742100
2025-12-31,9931.400390625,9950.099609375,9916.7001953125,9940.7001953125,176045300
2026-01-02,9951.099609375,10046.2998046875,9930.7998046875,9931.2998046875,627469100
2026-01-05,10004.599609375,10022.099609375,9951.5,9951.5,713151500
2026-01-06,10122.7001953125,10158.400390625,10003.7998046875,10004.400390625,718171700
2026-01-07,10048.2001953125,10124.7998046875,10032.7001953125,10122.7998046875,705731900
2026-01-08,10044.7001953125,10059.400390625,9995.900390625,10048.400390625,751003900
2026-01-09,10124.599609375,10135.7001953125,10032.900390625,10044.7001953125,714290200
2026-01-12,10140.7001953125,10149.7001953125,10089.900390625,10124.5,652275500
2026-01-13,10137.400390625,10152.5,10097.099609375,10140.7001953125,956031500
2026-01-14,10184.400390625,10184.400390625,10135.400390625,10137.2998046875,717891900
2026-01-15,10238.900390625,10250.5,10173.5,10184.400390625,1132107400
2026-01-16,10235.2998046875,10257.7998046875,10212.7998046875,10238.900390625,870108800
2026-01-19,10195.400390625,10235.2998046875,10166.2998046875,10235.2998046875,628321300
2026-01-20,10126.7998046875,10195.2001953125,10050.2001953125,10195.2001953125,986370500
2026-01-21,10138.099609375,10161.5,10093.7001953125,10126.900390625,758651200
2026-01-22,10150.099609375,10226.5,10138.099609375,10138.099609375,790113900
2026-01-23,10143.400390625,10184.099609375,10131.7998046875,10150.099609375,630823700
2026-01-26,10148.900390625,10184.900390625,10125.2998046875,10143.099609375,659600800
2026-01-27,10207.7998046875,10228.2001953125,10147.5,10149.0,763839700
2026-01-28,10154.400390625,10225.5,10144.7001953125,10207.599609375,785126300
2026-01-29,10171.7998046875,10277.7001953125,10154.2001953125,10154.2001953125,794022100
2026-01-30,10223.5,10234.0,10141.599609375,10171.7998046875,832508200
2026-02-02,10341.599609375,10345.5,10145.400390625,10223.7001953125,951139400
2026-02-03,10314.599609375,10373.2998046875,10232.2001953125,10341.2998046875,874101200
2026-02-04,10402.2998046875,10481.5,10308.0,10314.5,930136600
2026-02-05,10309.2001953125,10404.0,10289.2998046875,10402.599609375,1277189600
2026-02-06,10369.7998046875,10380.5,10253.2001953125,10309.099609375,758885000
2026-02-09,10386.2001953125,10420.2998046875,10316.0,10369.7998046875,1018460900
2026-02-10,10353.7998046875,10402.2001953125,10330.7998046875,10386.2001953125,993226600
2026-02-11,10472.099609375,10493.7998046875,10353.7998046875,10353.7998046875,961824500
2026-02-12,10402.400390625,10535.7998046875,10392.0,10472.2001953125,1022354000
2026-02-13,10446.400390625,10454.5,10380.900390625,10402.5,1406698800
2026-02-16,10473.7001953125,10490.099609375,10446.2998046875,10446.2998046875,540732700
2026-02-17,10556.2001953125,10556.2001953125,10472.7001953125,10474.0,650471900
2026-02-18,10686.2001953125,10715.7998046875,10554.0,10556.0,1080504800
2026-02-19,10627.0,10687.400390625,10597.599609375,10686.400390625,1134090700
2026-02-20,10686.900390625,10745.7998046875,10626.7001953125,10627.0,798124100
2026-02-23,10684.7001953125,10738.7001953125,10660.0,10686.7998046875,702118900
2026-02-24,10680.599609375,10717.7001953125,10645.7998046875,10684.900390625,999959100
2026-02-25,10806.400390625,10806.400390625,10680.7001953125,10680.7001953125,1270688000
2026-02-26,10846.7001953125,10856.7998046875,10770.7998046875,10806.400390625,853819000
2026-02-27,10910.599609375,10934.900390625,10845.5,10846.900390625,1531094400
2026-03-02,10780.099609375,10911.0,10731.900390625,10911.0,1305516300
2026-03-03,10484.099609375,10780.2998046875,10406.099609375,10780.2998046875,1502778100
2026-03-04,10567.7001953125,10588.7998046875,10443.5,10483.900390625,1040017600
2026-03-05,10413.900390625,10636.099609375,10402.0,10567.7001953125,978325000
2026-03-06,10284.7998046875,10481.099609375,10234.5,10413.599609375,1060629000
2026-03-09,10249.5,10285.0,10082.0,10285.0,1073211800
2026-03-10,10412.2001953125,10447.5,10235.400390625,10249.2001953125,1224090500
2026-03-11,10353.7998046875,10412.2998046875,10293.7998046875,10412.2998046875,1036944800
2026-03-12,10305.2001953125,10355.2998046875,10258.400390625,10353.7998046875,1083987200
2026-03-13,10261.2001953125,10367.400390625,10200.2001953125,10305.5,816906000
2026-03-16,10317.7001953125,10376.5,10255.2998046875,10261.099609375,896903000
2026-03-17,10403.599609375,10436.099609375,10317.599609375,10317.599609375,886665000
2026-03-18,10305.2998046875,10447.7001953125,10279.099609375,10403.5,861491600
2026-03-19,10063.5,10305.599609375,9997.400390625,10305.599609375,1157510300
2026-03-20,9918.2998046875,10127.599609375,9915.7001953125,10063.2998046875,2623375100
2026-03-23,9894.2001953125,10036.7001953125,9670.5,9918.5,1660414200
2026-03-24,9965.2001953125,9972.7001953125,9839.2001953125,9894.0,1214990300
2026-03-25,10106.7998046875,10118.2001953125,9965.2001953125,9965.2001953125,816852200
2026-03-26,9972.2001953125,10107.0,9956.2998046875,10107.0,791260400
2026-03-27,9967.400390625,10024.099609375,9883.2001953125,9972.2998046875,1115045000
2026-03-30,10128.0,10135.099609375,9958.099609375,9967.5,954019300
2026-03-31,10176.5,10245.7998046875,10118.7001953125,10127.900390625,973401800
2026-04-01,10364.7998046875,10396.599609375,10169.2998046875,10174.900390625,1154225300
2026-04-02,10436.2998046875,10465.2001953125,10287.900390625,10366.2998046875,1340450500
2026-04-07,10348.7998046875,10487.7001953125,10330.900390625,10436.2001953125,844673500
2026-04-08,10608.900390625,10687.900390625,10345.900390625,10345.900390625,1387131200
2026-04-09,10603.5,10643.599609375,10552.900390625,10609.599609375,696338500
2026-04-10,10600.5,10657.599609375,10576.0,10603.599609375,1100435500
2026-04-13,10583.0,10607.7001953125,10528.599609375,10601.5,1076503400
2026-04-14,10609.099609375,10630.400390625,10569.7998046875,10581.900390625,866212200
2026-04-15,10559.599609375,10640.0,10559.599609375,10609.2001953125,808554800
2026-04-16,10590.0,10645.900390625,10555.5,10559.599609375,649656900
2026-04-17,10667.599609375,10667.599609375,10548.900390625,10590.400390625,939622000
2026-04-20,10609.099609375,10683.7001953125,10583.2001953125,10668.400390625,923835300
2026-04-21,10498.099609375,10635.0,10487.900390625,10609.400390625,734873800
2026-04-22,10476.5,10523.2001953125,10468.0,10497.900390625,842843100
2026-04-23,10457.0,10477.2001953125,10361.5,10476.7998046875,799001700
2026-04-24,10379.099609375,10462.5,10365.900390625,10457.7001953125,649201500
2026-04-27,10321.099609375,10410.7998046875,10318.2998046875,10378.5,939012800
2026-04-28,10332.7998046875,10381.900390625,10288.7001953125,10321.7998046875,931577500
2026-04-29,10213.099609375,10338.2998046875,10188.7001953125,10332.900390625,947569000
2026-04-30,10378.7998046875,10387.599609375,10205.2001953125,10213.2998046875,1148625600
2026-05-01,10363.900390625,10378.5,10294.2001953125,10378.400390625,857577100
2026-05-05,10219.099609375,10365.400390625,10164.2998046875,10365.400390625,1130541900
2026-05-06,10438.7001953125,10488.2001953125,10218.7998046875,10218.7998046875,1075796500
2026-05-07,10277.0,10440.599609375,10277.0,10438.599609375,1003984800
2026-05-08,10233.099609375,10278.7001953125,10185.0,10277.400390625,747839300
2026-05-11,10269.400390625,10286.599609375,10226.5,10233.599609375,1001278500
2026-05-12,10265.2998046875,10271.2001953125,10152.099609375,10271.2001953125,1448117500
2026-05-13,10325.400390625,10360.5,10240.400390625,10264.900390625,747664500
2026-05-14,10372.900390625,10375.400390625,10310.2001953125,10325.2001953125,661031600
2026-05-15,10195.400390625,10375.7001953125,10163.599609375,10375.400390625,1284799300
2026-05-18,10323.7998046875,10337.400390625,10151.5,10194.7998046875,656424500
2026-05-19,10330.599609375,10408.400390625,10315.400390625,10323.7001953125,894090100
2026-05-20,10432.2998046875,10458.2998046875,10279.099609375,10330.7001953125,847563300
2026-05-21,10443.5,10471.599609375,10353.5,10432.5,867561100
2026-05-22,10466.2998046875,10497.2001953125,10435.5,10443.099609375,669982200
2026-05-26,10491.400390625,10557.2001953125,10461.099609375,10465.599609375,799422100
2026-05-27,10505.0,10522.2998046875,10462.099609375,10491.2001953125,1071673900
2026-05-28,10426.0,10505.400390625,10381.2001953125,10505.400390625,890072300
2026-05-29,10409.2998046875,10462.2001953125,10409.2998046875,10425.900390625,2180912300
2026-06-01,10339.0,10409.7998046875,10288.900390625,10409.2998046875,936795500
2026-06-02,10373.5,10395.7001953125,10333.2998046875,10338.400390625,918011300
2026-06-03,10332.2998046875,10383.099609375,10322.400390625,10373.900390625,778446200
2026-06-04,10360.2998046875,10360.2998046875,10238.599609375,10332.5,659929000
2026-06-05,10368.099609375,10415.7001953125,10331.5,10360.2998046875,884830800
2026-06-08,10373.2001953125,10409.2998046875,10319.2001953125,10369.099609375,751153000
2026-06-09,10227.2998046875,10372.7998046875,10227.2998046875,10372.7998046875,852767500
2026-06-10,10254.7998046875,10263.7998046875,10127.599609375,10227.400390625,746689500
2026-06-11,10303.900390625,10370.2001953125,10252.2998046875,10255.2001953125,895653600
2026-06-12,10471.7001953125,10471.7001953125,10302.7001953125,10302.7001953125,752480600
2026-06-15,10430.599609375,10570.099609375,10419.2001953125,10471.400390625,812693000
2026-06-16,10494.2001953125,10523.5,10428.599609375,10431.2998046875,737349600
2026-06-17,10508.599609375,10508.599609375,10468.400390625,10494.400390625,705672600
2026-06-18,10399.7001953125,10510.2001953125,10376.599609375,10510.2001953125,966474600
2026-06-19,10363.2998046875,10418.599609375,10352.900390625,10400.5,1815005600
2026-06-22,10437.900390625,10443.2001953125,10346.599609375,10363.599609375,1097667700
2026-06-23,10428.900390625,10462.2001953125,10332.400390625,10438.2001953125,896192800
2026-06-24,10461.599609375,10469.2998046875,10407.0,10429.0,960306000
